gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameType,gameLabel,gameSubLabel,seriesGameNumber,seed,reboundsTeam,turnoversTeam,ot1Points,ot2Points,otAllPoints,gameDate
22501148,2026-04-07 19:00:00,Washington,Wizards,1610612764,Chicago,Bulls,1610612741,1,0,98,129,22,7,8,86,37,0.43,38,11,0.289,21,13,0.619,38,8,46,19,21,-31,240.0,18,19,26,35,37,4,5,1,14,5,44,7,1,0,17,62,,Regular Season,,,,,10,1,,,,2026-04-07 19:00:00
22501148,2026-04-07 19:00:00,Chicago,Bulls,1610612741,Washington,Wizards,1610612764,0,1,129,98,35,7,14,94,46,0.489,45,15,0.333,27,22,0.815,43,9,52,22,13,31,240.0,38,28,34,29,61,37,9,1,31,22,56,15,1,1,30,49,,Regular Season,,,,,5,0,,,,2026-04-07 19:00:00
22501152,2026-04-07 19:00:00,Indiana,Pacers,1610612754,Minnesota,Timberwolves,1610612750,1,0,104,124,24,1,11,73,35,0.479,26,9,0.346,31,25,0.806,29,5,34,16,22,-20,240.0,27,26,24,27,53,4,10,1,21,20,50,6,1,1,18,61,,Regular Season,,,,,8,1,,,,2026-04-07 19:00:00
22501152,2026-04-07 19:00:00,Minnesota,Timberwolves,1610612750,Indiana,Pacers,1610612754,0,1,124,104,27,4,16,89,46,0.517,41,17,0.415,16,15,0.938,29,10,39,22,18,20,240.0,35,28,39,22,57,31,9,1,13,34,54,12,1,0,47,32,,Regular Season,,,,,8,2,,,,2026-04-07 19:00:00
22501147,2026-04-06 21:00:00,Portland,Trail Blazers,1610612757,Denver,Nuggets,1610612743,0,0,132,137,29,5,8,89,42,0.472,52,25,0.481,28,23,0.821,28,11,39,24,15,-5,265.0,35,37,29,24,21,18,10,3,18,16,32,15,4,1,40,39,,Regular Season,,,,,11,3,7,,7,2026-04-06 21:00:00
22501147,2026-04-06 21:00:00,Denver,Nuggets,1610612743,Portland,Trail Blazers,1610612757,1,1,137,132,37,5,10,101,52,0.515,38,12,0.316,24,21,0.875,28,17,45,26,12,5,265.0,31,27,29,38,34,7,11,3,13,20,66,30,4,1,51,28,,Regular Season,,,,,10,0,12,,12,2026-04-06 21:00:00
22501145,2026-04-06 20:00:00,Memphis,Grizzlies,1610612763,Cleveland,Cavaliers,1610612739,1,0,126,142,32,4,7,94,45,0.479,59,29,0.492,10,7,0.7,23,8,31,27,13,-16,240.0,36,28,26,36,53,17,10,6,10,17,30,15,1,0,25,54,,Regular Season,,,,,5,0,,,,2026-04-06 20:00:00
22501145,2026-04-06 20:00:00,Cleveland,Cavaliers,1610612739,Memphis,Grizzlies,1610612763,0,1,142,126,36,5,12,89,52,0.584,32,12,0.375,37,26,0.703,35,13,48,11,12,16,240.0,24,44,33,41,43,17,8,6,11,14,76,21,1,1,50,29,,Regular Season,,,,,16,1,,,,2026-04-06 20:00:00
22501146,2026-04-06 20:00:00,Philadelphia,76ers,1610612755,San Antonio,Spurs,1610612759,0,0,102,115,17,5,7,88,34,0.386,31,10,0.323,29,24,0.828,31,17,48,21,11,-13,240.0,28,27,30,17,18,4,8,15,11,12,38,18,10,1,43,36,,Regular Season,,,,,5,1,,,,2026-04-06 20:00:00
22501146,2026-04-06 20:00:00,San Antonio,Spurs,1610612759,Philadelphia,76ers,1610612755,1,1,115,102,31,5,8,89,44,0.494,32,11,0.344,22,16,0.727,38,9,47,23,9,13,240.0,29,33,30,23,50,14,10,15,22,20,58,7,10,1,60,19,,Regular Season,,,,,10,2,,,,2026-04-06 20:00:00
22501143,2026-04-06 19:00:00,Atlanta,Hawks,1610612737,New York,Knicks,1610612752,1,0,105,108,23,4,7,95,38,0.4,42,16,0.381,17,13,0.765,29,19,48,18,14,-3,240.0,31,26,22,26,8,10,12,11,9,15,34,13,8,0,45,34,,Regular Season,,,,,10,1,,,,2026-04-06 19:00:00
22501143,2026-04-06 19:00:00,New York,Knicks,1610612752,Atlanta,Hawks,1610612737,0,1,108,105,29,7,9,84,42,0.5,33,11,0.333,17,13,0.765,35,12,47,14,15,3,240.0,32,21,28,27,18,7,11,11,12,21,52,11,8,0,51,28,,Regular Season,,,,,4,2,,,,2026-04-06 19:00:00
22501144,2026-04-06 19:00:00,Detroit,Pistons,1610612765,Orlando,Magic,1610612753,0,0,107,123,32,7,10,85,42,0.494,30,10,0.333,19,13,0.684,27,8,35,24,19,-16,240.0,28,27,21,31,37,1,14,2,16,14,58,15,1,0,57,22,,Regular Season,,,,,11,2,,,,2026-04-06 19:00:00
22501144,2026-04-06 19:00:00,Orlando,Magic,1610612753,Detroit,Pistons,1610612765,1,1,123,107,28,9,16,81,41,0.506,26,11,0.423,40,30,0.75,29,6,35,19,14,16,240.0,30,39,29,25,31,26,12,2,23,33,52,8,1,0,43,36,,Regular Season,,,,,20,1,,,,2026-04-06 19:00:00
